,text,general_tags,specific_tags,token_tagset
0,"Found a pair of Sperry Topsiders for 3 , 500 pesos and Swatch Seasiders for 2 , 700 pesos .","['VBPT', 'NOUN', 'NOUN', 'IN', 'PROPN', 'NOUN', 'IN', 'CD', 'PUNC', 'CD', 'NOUN', 'CONJ', 'PROPN', 'PROPN', 'IN', 'CD', 'PUNC', 'CD', 'NOUN', 'PUNC']","['VBN', 'NNC', 'NN', 'IN', 'NNP', 'NNS', 'IN', 'CDB', 'PMC', 'CDB', 'NNC', 'CC', 'NNP', 'NNPS', 'IN', 'CDB', 'PMC', 'CDB', 'NNC', 'PMP']","['Flair', 'MGNN', 'Flair', 'Flair', 'MGNN', 'Flair', 'Flair', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'Flair', 'Flair', 'Flair', 'Flair', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN']"
1,Simula pa 'to kahapon .,"['RB', 'RB', 'PUNC', 'NOUN', 'PUNC']","['RBW', 'RBI', ""''"", 'NNC', 'PMP']","['MGNN', 'MGNN', 'Flair', 'MGNN', 'MGNN']"
2,"Feeling horny tonightIf youre around the area and feeling the same way , just leave me a message and susunduin kita","['PROPN', 'JJ', 'NOUN', 'UH', 'RB', 'DT', 'NOUN', 'CONJ', 'NOUN', 'DT', 'JJ', 'FW', 'PUNC', 'RB', 'VB', 'PR', 'NOUN', 'NOUN', 'CONJ', 'VBFT', 'NOUN']","['NNP', 'JJ', 'NN', 'UH', 'RB', 'DT', 'NN', 'CC', 'NNC', 'DT', 'JJ', 'FW', 'PMC', 'RB', 'VB', 'PRP', 'NNC', 'NN', 'CC', 'VBTF', 'NNC']","['MGNN', 'Flair', 'Flair', 'Flair', 'Flair', 'Flair', 'Flair', 'Flair', 'MGNN', 'Flair', 'Flair', 'MGNN', 'MGNN', 'Flair', 'Flair', 'Flair', 'MGNN', 'Flair', 'Flair', 'MGNN', 'MGNN']"
3,"Chat or DM for my tele to swap photos , lets sew if we match .","['PROPN', 'CONJ', 'PROPN', 'IN', 'PR', 'AFX', 'XX', 'NOUN', 'NOUN', 'PUNC', 'NOUN', 'UH', 'IN', 'PR', 'NOUN', 'PUNC']","['NNP', 'CC', 'NNPA', 'IN', 'PRP$', 'AFX', 'XX', 'NNC', 'NNS', 'PMC', 'NNS', 'UH', 'IN', 'PRP', 'NN', 'PMP']","['Flair', 'Flair', 'MGNN', 'Flair', 'Flair', 'Flair', 'Flair', 'MGNN', 'Flair', 'MGNN', 'Flair', 'Flair', 'Flair', 'Flair', 'Flair', 'MGNN']"
4,Hmu kung merong interested .,"['PROPN', 'CONJ', 'VB', 'JJ', 'PUNC']","['NNP', 'CCR', 'VBH', 'JJ', 'PMP']","['Flair', 'MGNN', 'MGNN', 'Flair', 'MGNN']"
5,Siguro what I can offer lang is yung experience na lumabas ka with an average girl HAHAHAHAHA sabi ng friends ko funny ako kasama so malay mo mapatawa kita kahit papano .,"['RB', 'PR', 'CD', 'NOUN', 'NOUN', 'RB', 'VBPR', 'PR', 'NOUN', 'CCP', 'VB', 'PR', 'IN', 'DT', 'JJ', 'NOUN', 'PROPN', 'VB', 'CONJ', 'NOUN', 'PR', 'JJ', 'PR', 'CONJ', 'RB', 'NOUN', 'UH', 'VB', 'NOUN', 'CONJ', 'RB', 'PUNC']","['RBM', 'WP', 'CDB', 'NNC', 'NN', 'RBI', 'VBZ', 'PRO', 'NN', 'CCP', 'VBAF', 'PRS', 'IN', 'DTC', 'JJ', 'NN', 'NNPA', 'VBS', 'CCB', 'NNS', 'PRS', 'JJ', 'PRS', 'CCB', 'RB', 'NNC', 'UH', 'VBW', 'NNC', 'CCT', 'RBQ', 'PMP']","['MGNN', 'Flair', 'MGNN', 'MGNN', 'Flair', 'MGNN', 'Flair', 'MGNN', 'Flair', 'MGNN', 'MGNN', 'MGNN', 'Flair', 'MGNN', 'Flair', 'Flair', 'MGNN', 'MGNN', 'MGNN', 'Flair', 'MGNN', 'Flair', 'MGNN', 'MGNN', 'Flair', 'MGNN', 'Flair', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN']"
6,Dm your ASL kung gusto ng massage .,"['PROPN', 'PR', 'PROPN', 'CONJ', 'VB', 'CONJ', 'VB', 'PUNC']","['NNP', 'PRP$', 'NNPA', 'CCR', 'VBS', 'CCB', 'VB', 'PMP']","['MGNN', 'Flair', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'Flair', 'MGNN']"
7,"Sa trabaho ko sa ER , may nagsuicide attempt na pasyente , pagdating sa ospital buong mukha nya violet na .","['CONJ', 'NOUN', 'PR', 'CONJ', 'NOUN', 'PUNC', 'VB', 'VBPR', 'NOUN', 'CCP', 'NOUN', 'PUNC', 'RB', 'CONJ', 'NOUN', 'PR', 'NOUN', 'PR', 'NOUN', 'CCP', 'PUNC']","['CCT', 'NNC', 'PRS', 'CCT', 'NN', 'PMC', 'VBH', 'VBTR', 'NN', 'CCP', 'NNC', 'PMC', 'RBW', 'CCT', 'NNC', 'PRI', 'NNC', 'PRS', 'NN', 'CCP', 'PMP']","['MGNN', 'MGNN', 'MGNN', 'MGNN', 'Flair', 'MGNN', 'MGNN', 'MGNN', 'Flair', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'Flair', 'MGNN', 'MGNN']"
8,Is there any way to restore said photos & videos ?,"['VBPR', 'RB', 'FW', 'FW', 'XX', 'VB', 'VBPT', 'NOUN', 'SYM', 'NOUN', 'PUNC']","['VBZ', 'RB', 'FW', 'FW', 'XX', 'VB', 'VBD', 'NNS', 'PMS', 'NNS', 'PMQ']","['Flair', 'Flair', 'MGNN', 'MGNN', 'Flair', 'Flair', 'Flair', 'Flair', 'MGNN', 'Flair', 'MGNN']"
9,"yes , you read it right .","['UH', 'PUNC', 'PR', 'VB', 'PR', 'UH', 'PUNC']","['UH', 'PMC', 'PRP', 'VB', 'PRP', 'UH', 'PMP']","['Flair', 'MGNN', 'Flair', 'Flair', 'Flair', 'Flair', 'MGNN']"
